rank,file,t_sec,score,U,A,D,n_boxes,n_ambiguous,empty,selected
76,frame_0377.jpg,150.8,0.493,0.713,0.375,0.12,18,3,False,False
77,frame_0007.jpg,2.8,0.4904,0.5057,0.125,1.0,12,1,False,False
78,frame_0169.jpg,67.6,0.4901,0.4723,0.5,0.52,13,4,False,False
79,frame_0208.jpg,83.2,0.4895,0.4499,0.375,0.76,7,3,False,False
80,frame_0168.jpg,67.2,0.4885,0.528,0.375,0.56,9,3,False,False
81,frame_0018.jpg,7.2,0.4879,0.4258,0.25,1.0,8,2,False,False
82,frame_0082.jpg,32.8,0.4874,0.5527,0.25,0.68,16,2,False,False
83,frame_0395.jpg,158.0,0.4858,0.6985,0.375,0.12,13,3,False,False
84,frame_0399.jpg,159.6,0.4857,0.5594,0.5,0.28,11,4,False,False
85,frame_0084.jpg,33.6,0.4845,0.504,0.375,0.6,12,3,False,False
86,frame_0009.jpg,3.6,0.4808,0.4117,0.25,1.0,8,2,False,False
87,frame_0121.jpg,48.4,0.48,0.5111,0.375,0.56,9,3,False,False
88,frame_0286.jpg,114.4,0.4794,0.5528,0.25,0.64,9,2,False,False
89,frame_0274.jpg,109.6,0.4755,0.5869,0.5,0.16,17,4,False,False
90,frame_0367.jpg,146.8,0.4753,0.6185,0.5,0.08,22,4,False,False
91,frame_0318.jpg,127.2,0.4749,0.5539,0.5,0.24,10,4,False,False
92,frame_0322.jpg,128.8,0.4734,0.5077,0.625,0.16,12,5,False,False
93,frame_0125.jpg,50.0,0.4729,0.5078,0.25,0.72,15,2,False,False
94,frame_0291.jpg,116.4,0.4711,0.4563,0.25,0.84,10,2,False,False
95,frame_0010.jpg,4.0,0.47,0.3149,0.375,1.0,8,3,False,False
96,frame_0120.jpg,48.0,0.469,0.655,0.125,0.52,9,1,False,False
97,frame_0020.jpg,8.0,0.4689,0.4628,0.125,1.0,8,1,False,False
98,frame_0173.jpg,69.2,0.4641,0.6342,0.25,0.36,11,2,False,False
99,frame_0289.jpg,115.6,0.4618,0.3197,0.5,0.76,12,4,False,False
100,frame_0297.jpg,118.8,0.4612,0.5324,0.25,0.6,12,2,False,False
101,frame_0232.jpg,92.8,0.458,0.5359,0.5,0.2,14,4,False,False
102,frame_0090.jpg,36.0,0.4557,0.5424,0.375,0.36,13,3,False,False
103,frame_0316.jpg,126.4,0.4545,0.62,0.375,0.16,11,3,False,False
104,frame_0096.jpg,38.4,0.4516,0.6302,0.375,0.12,19,3,False,False
105,frame_0178.jpg,71.2,0.4513,0.6136,0.375,0.16,15,3,False,False
106,frame_0268.jpg,107.2,0.4477,0.6385,0.375,0.08,10,3,False,False
107,frame_0391.jpg,156.4,0.4477,0.6544,0.375,0.04,12,3,False,False
108,frame_0130.jpg,52.0,0.4476,0.3772,0.25,0.92,16,2,False,False
109,frame_0372.jpg,148.8,0.4476,0.6223,0.375,0.12,16,3,False,False
110,frame_0186.jpg,74.4,0.4468,0.5777,0.5,0.04,16,4,False,False
111,frame_0179.jpg,71.6,0.4467,0.5454,0.5,0.12,16,4,False,False
112,frame_0115.jpg,46.0,0.4444,0.6107,0.25,0.32,13,2,False,False
113,frame_0378.jpg,151.2,0.4404,0.6238,0.375,0.08,17,3,False,False
114,frame_0315.jpg,126.0,0.4391,0.6052,0.375,0.12,13,3,False,False
115,frame_0194.jpg,77.6,0.4388,0.5407,0.375,0.28,7,3,False,False
116,frame_0276.jpg,110.4,0.4369,0.6278,0.25,0.24,15,2,False,False
117,frame_0390.jpg,156.0,0.4367,0.6164,0.375,0.08,15,3,False,False
118,frame_0175.jpg,70.0,0.4341,0.5313,0.375,0.28,12,3,False,False
119,frame_0387.jpg,154.8,0.4322,0.7094,0.125,0.2,14,1,False,False
120,frame_0192.jpg,76.8,0.4314,0.5578,0.375,0.2,9,3,False,False
121,frame_0207.jpg,82.8,0.4306,0.3911,0.25,0.8,8,2,False,False
122,frame_0131.jpg,52.4,0.4305,0.3271,0.25,0.96,12,2,False,False
123,frame_0176.jpg,70.4,0.4291,0.6872,0.125,0.24,13,1,False,False
124,frame_0324.jpg,129.6,0.4284,0.5999,0.375,0.08,16,3,False,False
125,frame_0118.jpg,47.2,0.427,0.5279,0.25,0.44,14,2,False,False
126,frame_0180.jpg,72.0,0.4261,0.6702,0.25,0.08,14,2,False,False
127,frame_0201.jpg,80.4,0.4259,0.4778,0.25,0.56,8,2,False,False
128,frame_0305.jpg,122.0,0.4227,0.5085,0.375,0.28,10,3,False,False
129,frame_0019.jpg,7.6,0.4214,0.2929,0.25,1.0,8,2,False,False
130,frame_0170.jpg,68.0,0.4209,0.5749,0.125,0.48,12,1,False,False
131,frame_0100.jpg,40.0,0.4205,0.6,0.375,0.04,12,3,False,False
132,frame_0283.jpg,113.2,0.4205,0.408,0.375,0.52,10,3,False,False
133,frame_0293.jpg,117.2,0.4199,0.3107,0.375,0.76,12,3,False,False
134,frame_0280.jpg,112.0,0.4195,0.5289,0.25,0.4,12,2,False,False
135,frame_0193.jpg,77.2,0.4191,0.6672,0.125,0.24,10,1,False,False
136,frame_0025.jpg,10.0,0.419,0.288,0.25,1.0,8,2,False,False
137,frame_0203.jpg,81.2,0.4189,0.5069,0.125,0.64,8,1,False,False
138,frame_0381.jpg,152.4,0.4184,0.5958,0.375,0.04,14,3,False,False
139,frame_0213.jpg,85.2,0.4174,0.3858,0.375,0.56,6,3,False,False
140,frame_0206.jpg,82.4,0.4163,0.3785,0.25,0.76,9,2,False,False
141,frame_0333.jpg,133.2,0.416,0.575,0.375,0.08,16,3,False,False
142,frame_0371.jpg,148.4,0.4137,0.6453,0.25,0.08,15,2,False,False
143,frame_0388.jpg,155.2,0.4129,0.5368,0.375,0.16,14,3,False,False
144,frame_0094.jpg,37.6,0.4127,0.5205,0.375,0.2,12,3,False,False
145,frame_0113.jpg,45.2,0.4122,0.5783,0.25,0.24,11,2,False,False
146,frame_0396.jpg,158.4,0.4103,0.5316,0.375,0.16,9,3,False,False
147,frame_0222.jpg,88.8,0.4075,0.5101,0.375,0.2,13,3,False,False
148,frame_0200.jpg,80.0,0.4065,0.4551,0.25,0.52,6,2,False,False
149,frame_0278.jpg,111.2,0.4054,0.5328,0.25,0.32,11,2,False,False
150,frame_0368.jpg,147.2,0.4052,0.5694,0.375,0.04,22,3,False,False
151,frame_0314.jpg,125.6,0.405,0.628,0.25,0.08,12,2,False,False
152,frame_0014.jpg,5.6,0.4047,0.3344,0.125,1.0,7,1,False,False
153,frame_0306.jpg,122.4,0.3984,0.5509,0.25,0.24,11,2,False,False
154,frame_0330.jpg,132.0,0.3967,0.5525,0.375,0.04,20,3,False,False
155,frame_0185.jpg,74.0,0.3964,0.6107,0.25,0.08,15,2,False,False
156,frame_0174.jpg,69.6,0.3957,0.5135,0.25,0.32,12,2,False,False
157,frame_0029.jpg,11.6,0.3933,0.3867,0.0,1.0,12,0,False,False
158,frame_0302.jpg,120.8,0.3923,0.5497,0.125,0.4,13,1,False,False
159,frame_0086.jpg,34.4,0.3918,0.4256,0.25,0.52,10,2,False,False
160,frame_0394.jpg,157.6,0.3915,0.601,0.25,0.08,14,2,False,False
161,frame_0101.jpg,40.4,0.3909,0.5998,0.25,0.08,14,2,False,False
162,frame_0325.jpg,130.0,0.3894,0.4629,0.5,0.04,15,4,False,False
163,frame_0011.jpg,4.4,0.3889,0.3777,0.0,1.0,8,0,False,False
164,frame_0298.jpg,119.2,0.3884,0.4028,0.25,0.56,11,2,False,False
165,frame_0281.jpg,112.4,0.3868,0.3727,0.375,0.44,12,3,False,False
166,frame_0229.jpg,91.6,0.3865,0.516,0.375,0.08,14,3,False,False
167,frame_0277.jpg,110.8,0.3851,0.5833,0.125,0.28,13,1,False,False
168,frame_0217.jpg,86.8,0.3847,0.3844,0.375,0.4,9,3,False,False
169,frame_0284.jpg,113.6,0.3847,0.4704,0.125,0.56,12,1,False,False
170,frame_0375.jpg,150.0,0.3831,0.4612,0.375,0.2,17,3,False,False
171,frame_0212.jpg,84.8,0.3829,0.4508,0.125,0.6,9,1,False,False
172,frame_0171.jpg,68.4,0.3814,0.4367,0.25,0.44,10,2,False,False
173,frame_0028.jpg,11.2,0.3773,0.2795,0.125,1.0,9,1,False,False
174,frame_0089.jpg,35.6,0.3767,0.5184,0.125,0.4,14,1,False,False
175,frame_0108.jpg,43.2,0.3762,0.5115,0.375,0.04,14,3,False,False
176,frame_0119.jpg,47.6,0.3762,0.4104,0.25,0.48,9,2,False,False
177,frame_0230.jpg,92.0,0.373,0.4731,0.375,0.12,15,3,False,False
178,frame_0319.jpg,127.6,0.3718,0.5566,0.125,0.28,17,1,False,False
179,frame_0376.jpg,150.4,0.3714,0.5288,0.25,0.16,16,2,False,False
